,district,neighborhood,Latitude,Longitude
130,XIII,Újlipótváros,47.53647275,19.07401870481914
131,XIII,Vizafogó,47.5388814,19.0694579
132,XIV,Alsórákos,47.5251778,19.1282801
133,XIV,Herminamező,47.5264335,19.0904504
134,XIV,Istvánmező,47.502883100000005,19.099604301739284
135,XIV,Kiszugló,47.5150279,19.1147634
136,XIV,Nagyzugló,47.5081505,19.1261429
137,XIV,Rákosfalva,47.5068868,19.1462216
138,XIV,Törökőr,47.5074376,19.1115031
139,XIV,Városliget,47.5148675,19.0843677
140,XV,Pestújhely,47.5379542,19.1297636
141,XV,Rákospalota,47.5675104,19.1156745
142,XV,Újpalota,47.562713599999995,19.14021824045608
143,XVI,Árpádföld,47.5331332,19.1985597
144,XVI,Cinkota,47.5222844,19.2300729
145,XVI,Mátyásföld,47.5057828,19.2086396
146,XVI,Rákosszentmihály,47.5272414,19.1703355
147,XVI,Sashalom,47.5098147,19.1776272
148,XVII,Akadémiaújtelep,47.4816127,19.2195257
149,XVII,Madárdomb,47.4772171,19.2327105
150,XVII,Rákoscsaba,47.48044,19.2991166
151,XVII,Rákoscsaba-Újtelep,47.4917943,19.2837211
152,XVII,Rákoshegy,47.4609582,19.2416271
153,XVII,Rákoskeresztúr,47.4788414,19.2462341
154,XVII,Rákoskert,47.4659265,19.2879581
155,XVII,Rákosliget,47.4889412,19.259332
156,XVII,Régiakadémiatelep,47.4894914,19.2475982
157,XVIII,Almáskert,47.4088783,19.213443
158,XVIII,Bélatelep,47.4573542,19.1967554
159,XVIII,Belsőmajor,47.4031139,19.1874556
160,XVIII,Bókaytelep,47.4384224,19.180897
161,XVIII,Erdőskert,47.3986522,19.2042558
162,XVIII,Erzsébettelep,47.4592731,19.1823015
163,XVIII,Ferihegy,47.4336673,19.262181022444
164,XVIII,Ganzkertváros,47.4203808,19.2183207
165,XVIII,Ganztelep,47.4295905,19.2278843
166,XVIII,Gloriett-telep,47.4294676,19.1749235
167,XVIII,Halmierdő,47.4199275,19.1881695
168,XVIII,Havanna-lakótelep,47.4387135,19.1669224
169,XVIII,Kossuth Ferenc-telep,47.4048457,19.1765524
170,XVIII,Krepuska Géza-telep,47.4136267,19.2047056
171,XVIII,Lakatos-lakótelep,47.4498226,19.172247
172,XVIII,Liptáktelep,47.4452145,19.1619897
173,XVIII,Lónyaytelep,47.4551698,19.1812572
174,XVIII,Miklóstelep,47.4454655,19.1931438
175,XVIII,Pestszentimre,47.4265874,19.207279490445814
176,XVIII,Rendessytelep,47.4517597,19.1650593
177,XVIII,Szemeretelep,47.4376647,19.211562
178,XVIII,Szent Imre-kertváros,47.4215982,19.2099577
179,XVIII,Szent Lőrinc-lakótelep,47.4344306,19.1717959
180,XVIII,Újpéteritelep,47.4080575,19.1918985
181,XIX,Kispest,47.4484411,19.1465176
182,XIX,Wekerletelep,47.4557868,19.1259098
183,XX,Erzsébetfalva,47.4438809,19.1093939
184,XX,Gubacs,47.4336616,19.0936011
185,XX,Gubacsipuszta,47.4282775,19.1371712
186,XX,Kossuthfalva,47.4391696,19.1232847
187,XX,Pacsirtatelep,47.4244189,19.1199827
188,XX,Szabótelep,47.441885,19.1290442
189,XXI,Csepel-Belváros,47.429974,19.0696548
190,XXI,Csepel-Csillagtelep,47.4125855,19.0651874
191,XXI,Csepel-Erdőalja,47.4217312,19.0659489
192,XXI,Csepel-Erdősor,47.4077941,19.0756128
193,XXI,Csepel-Gyártelep,47.4239769,19.055522122945746
194,XXI,Csepel-Háros,47.3961337,19.0503973
195,XXI,Csepel-Kertváros,47.4220399,19.0814974
196,XXI,Csepel-Királyerdő,47.4055963,19.0955908
197,XXI,Csepel-Királymajor,47.4250805,19.0891698
198,XXI,Csepel-Ófalu,47.438126,19.0616885
199,XXI,Csepel-Rózsadomb,47.4077399,19.049597
200,XXI,Csepel-Szabótelep,47.4360149,19.0873275
201,XXI,Csepel-Szigetcsúcs,47.4452984,19.0634341
202,XXII,Baross Gábor-telep,47.4262258,18.998927481649748
203,XXII,Budafok,47.41038385,19.000966525667373
204,XXII,Budatétény,47.4171277,19.0106567
205,XXII,Nagytétény,47.3975678,18.9859582
206,XXIII,Millenniumtelep,47.3778337,19.1074379
207,XXIII,Soroksár,47.38851235,19.15060147657157
208,XXIII,Soroksár-Újtelep,47.4168732,19.1310583
